fecha,demanda_MWh,temp_media_C,HDD18,CDD22
2015-01-01,23850778.461,6.952,342.487,0.0
2015-02-01,22079124.302,7.523,293.349,0.0
2015-03-01,22320622.539,11.504,201.382,0.0
2015-04-01,19913745.874,14.519,104.42,0.0
2015-05-01,21024442.075,19.743,8.709,6.36
2015-06-01,21582825.532,23.313,0.333,58.863
2015-07-01,24945739.132,27.652,0.0,175.212
2015-08-01,22320043.801,25.062,0.0,94.923
2015-09-01,20847347.127,20.371,0.109,2.522
2015-10-01,20958912.994,16.568,53.254,0.0
2015-11-01,20962118.846,12.631,161.079,0.0
2015-12-01,22002733.827,10.116,244.392,0.0
2016-01-01,22633024.584,9.669,258.259,0.0
2016-02-01,21910406.418,9.491,246.773,0.0
2016-03-01,22629709.348,10.131,243.931,0.0
2016-04-01,21036197.793,12.917,152.499,0.0
2016-05-01,20894058.89,16.417,54.827,0.0
2016-06-01,21490285.646,22.58,0.0,39.393
2016-07-01,23643270.503,26.243,0.0,131.536
2016-08-01,22906879.569,25.896,0.0,120.776
2016-09-01,22162857.287,22.772,0.02,54.231
2016-10-01,21092114.112,17.656,32.394,0.0
2016-11-01,21768973.539,11.416,197.512,0.0
2016-12-01,22498372.167,9.201,272.77,0.0
2017-01-01,24338223.392,6.766,348.25,0.0
2017-02-01,21051453.155,10.041,222.852,0.0
2017-03-01,22265173.55,12.335,175.617,0.0
2017-04-01,20113934.14,15.3,82.029,0.0
2017-05-01,21449085.436,19.268,16.116,6.58
2017-06-01,23023921.621,24.986,0.0,98.015
2017-07-01,23898005.519,25.566,0.0,112.935
2017-08-01,23322269.036,25.63,0.0,114.194
2017-09-01,21476056.885,21.146,1.433,10.169
2017-10-01,21458915.372,18.743,21.964,0.467
2017-11-01,22073731.522,11.224,203.286,0.0
2017-12-01,23396400.654,7.905,312.947,0.0
2018-01-01,23824297.384,8.71,288.004,0.0
2018-02-01,22448928.221,7.221,301.808,0.0
2018-03-01,23301538.223,10.159,243.076,0.0
2018-04-01,21088079.749,13.768,127.054,0.0
2018-05-01,21308320.324,17.165,33.362,0.0
2018-06-01,21613126.417,21.793,1.214,41.014
2018-07-01,23661798.2380001,25.412,0.0,105.773
2018-08-01,23509928.797,26.318,0.0,133.851
2018-09-01,22122622.526,23.245,0.0,39.817
2018-10-01,21579639.23,16.349,65.635,0.0
2018-11-01,22054390.403,11.518,194.458,0.0
2018-12-01,22373111.296,9.101,275.867,0.0
2019-01-01,24566154.547,7.123,337.191,0.0
2019-02-01,21280529.205,9.667,233.323,0.0
2019-03-01,21935545.636,12.552,168.877,0.0
2019-04-01,20692209.649,13.099,147.036,0.0
2019-05-01,21134292.129,17.888,26.872,0.0
