fecha,demanda_MWh
2015-01-01,603961.474
2015-01-02,715038.679
2015-01-03,698648.512
2015-01-04,663533.254
2015-01-05,714784.323
2015-01-06,640502.59
2015-01-07,797756.388
2015-01-08,825171.274
2015-01-09,814974.325
2015-01-10,730111.554
2015-01-11,677864.576
2015-01-12,798385.956
2015-01-13,808843.601
2015-01-14,808917.954
2015-01-15,805493.97
2015-01-16,806819.56
2015-01-17,737370.835
2015-01-18,705750.634
2015-01-19,832362.441
2015-01-20,854993.657
2015-01-21,858827.193
2015-01-22,852352.418
2015-01-23,840300.824
2015-01-24,755029.505
2015-01-25,691396.043
2015-01-26,820201.525
2015-01-27,828540.004
2015-01-28,822819.394
2015-01-29,817268.3
2015-01-30,800560.346
2015-01-31,722197.352
2015-02-01,683673.435
2015-02-02,828262.167
2015-02-03,846036.506
2015-02-04,864074.151
2015-02-05,861302.699
2015-02-06,865557.073
2015-02-07,788806.462
2015-02-08,722720.341
2015-02-09,848776.346
2015-02-10,855151.057
2015-02-11,844145.344
2015-02-12,837363.267
2015-02-13,815588.837
2015-02-14,731921.206
2015-02-15,666364.522
2015-02-16,781256.148
2015-02-17,808815.061
2015-02-18,805298.458
2015-02-19,800595.235
2015-02-20,800551.083
2015-02-21,723076.713
2015-02-22,667165.755
2015-02-23,785999.9
2015-02-24,804965.856
2015-02-25,799906.96
2015-02-26,785077.042
2015-02-27,767747.309
2015-02-28,688925.369
2015-03-01,632398.66
2015-03-02,740931.84
2015-03-03,748029.863
2015-03-04,759198.992
2015-03-05,766393.373
2015-03-06,759165.523
2015-03-07,672167.186
2015-03-08,620213.043
2015-03-09,735652.229
2015-03-10,746131.443
2015-03-11,741747.056
2015-03-12,737807.726
2015-03-13,742091.977
2015-03-14,683933.3
2015-03-15,639038.519
2015-03-16,756961.293
2015-03-17,773881.322
2015-03-18,778774.68
2015-03-19,725746.383
2015-03-20,748690.134
2015-03-21,692449.444
2015-03-22,643671.461
2015-03-23,770191.421
2015-03-24,788329.454
2015-03-25,783474.768
2015-03-26,774783.358
2015-03-27,747182.605
2015-03-28,658008.983
2015-03-29,569315.019
2015-03-30,688471.645
2015-03-31,695789.839
2015-04-01,686214.746
2015-04-02,607005.552
2015-04-03,552208.451
2015-04-04,582323.752
2015-04-05,556138.649
2015-04-06,610002.313
2015-04-07,691830.242
2015-04-08,713967.196
2015-04-09,721531.788
2015-04-10,715078.518
2015-04-11,648069.159
2015-04-12,591230.202
2015-04-13,687032.209
2015-04-14,705415.927
2015-04-15,715115.209
2015-04-16,715549.262
2015-04-17,706799.691
2015-04-18,634399.738
2015-04-19,582136.363
2015-04-20,687436.748
2015-04-21,701522.293
2015-04-22,699561.995
2015-04-23,687646.922
2015-04-24,692397.06
2015-04-25,634923.747
2015-04-26,587983.225
2015-04-27,692629.422
2015-04-28,700042.293
2015-04-29,703500.731
2015-04-30,704052.471
2015-05-01,578718.608
2015-05-02,600618.52
2015-05-03,579556.659
2015-05-04,696814.532
2015-05-05,712692.424
2015-05-06,709631.066
2015-05-07,709582.216
2015-05-08,713394.661
2015-05-09,645342.918
2015-05-10,592540.844
2015-05-11,708205.572
2015-05-12,733578.843
2015-05-13,744739.728
2015-05-14,759692.327
2015-05-15,715045.092
2015-05-16,648700.189
2015-05-17,596728.288
2015-05-18,712910.507
2015-05-19,725028.289
2015-05-20,709020.734
2015-05-21,704145.347
2015-05-22,703305.968
2015-05-23,638600.423
2015-05-24,580677.024
2015-05-25,690496.615
2015-05-26,711059.817
2015-05-27,718112.337
2015-05-28,727169.773
2015-05-29,718625.882
2015-05-30,646373.913
2015-05-31,593332.959
2015-06-01,706587.156
2015-06-02,738775.926
2015-06-03,747469.967
2015-06-04,730593.034
2015-06-05,742351.461
2015-06-06,678371.769
2015-06-07,620985.501
2015-06-08,745772.122
2015-06-09,757972.236
2015-06-10,757784.264
2015-06-11,743655.657
2015-06-12,726783.339
2015-06-13,649586.247
2015-06-14,589719.277
2015-06-15,700468.742
2015-06-16,708043.32
2015-06-17,718026.337
2015-06-18,728234.631
2015-06-19,739870.471
2015-06-20,677987.663
2015-06-21,623496.304
2015-06-22,746978.305
2015-06-23,749632.438
2015-06-24,709073.974
2015-06-25,756207.487
2015-06-26,773092.054
2015-06-27,718758.663
2015-06-28,668290.933
2015-06-29,802343.029
2015-06-30,825913.225
2015-07-01,818165.82
2015-07-02,807298.837
2015-07-03,813047.623
2015-07-04,735000.465
2015-07-05,690986.862
2015-07-06,833841.194
2015-07-07,866486.534
2015-07-08,861343.857
2015-07-09,842680.316
2015-07-10,830759.229
2015-07-11,740508.641
2015-07-12,681004.161
2015-07-13,824914.33
2015-07-14,849611.333
2015-07-15,854102.621
2015-07-16,852063.23
2015-07-17,849281.647
2015-07-18,753322.967
2015-07-19,684999.194
2015-07-20,841224.942
2015-07-21,865146.926
2015-07-22,856068.072
2015-07-23,851979.445
2015-07-24,843688.292
2015-07-25,730897.456
2015-07-26,673201.906
2015-07-27,816558.257
2015-07-28,833869.765
2015-07-29,844723.001
2015-07-30,819958.886
2015-07-31,779003.323
2015-08-01,680361.086
2015-08-02,635796.261
2015-08-03,774254.262
2015-08-04,786083.344
2015-08-05,794417.385
2015-08-06,793688.217
2015-08-07,801217.924
2015-08-08,711363.27
2015-08-09,636476.179
2015-08-10,744364.123
2015-08-11,762740.052
2015-08-12,767721.94
2015-08-13,753532.812
2015-08-14,713319.001
2015-08-15,621537.814
2015-08-16,594535.379
2015-08-17,697936.416
2015-08-18,706652.476
2015-08-19,709229.608
2015-08-20,731671.914
2015-08-21,745031.982
2015-08-22,675418.314
2015-08-23,614465.919
2015-08-24,710603.426
2015-08-25,735562.748
2015-08-26,752911.303
2015-08-27,764243.524
2015-08-28,768622.78
2015-08-29,700909.286
2015-08-30,653032.965
2015-08-31,782342.091
2015-09-01,781600.481
2015-09-02,773137.955
2015-09-03,755240.694
2015-09-04,732691.965
2015-09-05,645794.998
2015-09-06,591063.167
2015-09-07,699849.007
2015-09-08,702432.005
2015-09-09,722409.942
2015-09-10,728505.804
2015-09-11,701623.09
2015-09-12,652086.767
2015-09-13,599682.057
2015-09-14,703998.29
2015-09-15,721881.88
2015-09-16,731468.57
2015-09-17,716961.823
2015-09-18,709624.619
2015-09-19,641702.928
2015-09-20,590658.05
2015-09-21,709595.849
2015-09-22,729247.244
2015-09-23,725527.873
2015-09-24,716022.639
2015-09-25,713482.173
2015-09-26,641495.081
2015-09-27,588066.446
2015-09-28,699250.72
2015-09-29,712306.712
2015-09-30,709938.298
2015-10-01,710340.362
2015-10-02,710143.781
2015-10-03,637119.214
