fecha,demanda_MWh
2015-01-01,23850778.461
2015-02-01,22079124.302
2015-03-01,22320622.539
2015-04-01,19913745.874
2015-05-01,21024442.075
2015-06-01,21582825.532
2015-07-01,24945739.132
2015-08-01,22320043.801
2015-09-01,20847347.127
2015-10-01,20958912.994
2015-11-01,20962118.846
2015-12-01,22002733.827
2016-01-01,22633024.584
2016-02-01,21910406.418
2016-03-01,22629709.348
2016-04-01,21036197.793
2016-05-01,20894058.89
2016-06-01,21490285.646
2016-07-01,23643270.503
2016-08-01,22906879.569
2016-09-01,22162857.287
2016-10-01,21092114.112
2016-11-01,21768973.539
2016-12-01,22498372.167
2017-01-01,24338223.392
2017-02-01,21051453.155
2017-03-01,22265173.55
2017-04-01,20113934.14
2017-05-01,21449085.436
2017-06-01,23023921.621
2017-07-01,23898005.519
2017-08-01,23322269.036
2017-09-01,21476056.885
2017-10-01,21458915.372
2017-11-01,22073731.522
2017-12-01,23396400.654
2018-01-01,23824297.384
2018-02-01,22448928.221
2018-03-01,23301538.223
2018-04-01,21088079.749
2018-05-01,21308320.324
2018-06-01,21613126.417
2018-07-01,23661798.2380001
2018-08-01,23509928.797
2018-09-01,22122622.526
2018-10-01,21579639.23
2018-11-01,22054390.403
2018-12-01,22373111.296
2019-01-01,24566154.547
2019-02-01,21280529.205
2019-03-01,21935545.636
2019-04-01,20692209.649
2019-05-01,21134292.129
2019-06-01,21258958.649
2019-07-01,24223991.17
2019-08-01,22710929.179
2019-09-01,21297712.005
2019-10-01,21454847.17
2019-11-01,21997760.931
2019-12-01,22110920.732
2020-01-01,23826282.724
2020-02-01,20980969.957
2020-03-01,20926733.362
2020-04-01,17060911.994
2020-05-01,18308083.84
2020-06-01,19358582.116
2020-07-01,23194421.105
2020-08-01,22065111.348
2020-09-01,20498509.843
2020-10-01,20693485.205
2020-11-01,20698566.523
2020-12-01,22438961.596
2021-01-01,23909484.894
2021-02-01,20182155.276
2021-03-01,21823050.887
2021-04-01,19940221.825
2021-05-01,20346648.964
2021-06-01,20728356.541
2021-07-01,22922255.761
2021-08-01,22059793.279
2021-09-01,20972956.058
2021-10-01,20197477.971
2021-11-01,21433492.692
2021-12-01,22029944.637
2022-01-01,22729295.932
2022-02-01,20168155.371
2022-03-01,21475748.762
2022-04-01,19589011.223
2022-05-01,20301232.67
2022-06-01,21330346.609
2022-07-01,23635939.166
2022-08-01,22009668.436
2022-09-01,20311958.98
2022-10-01,19330113.115
2022-11-01,19301765.718
2022-12-01,20287656.712
2023-01-01,22134026.291
2023-02-01,20560235.18
2023-03-01,20639711.232
2023-04-01,18316734.3
2023-05-01,19243367.373
2023-06-01,19973380.276
2023-07-01,22799599.054
2023-08-01,21829565.953
2023-09-01,19762754.89
2023-10-01,19990082.144
2023-11-01,20113191.795
2023-12-01,21302390.025
2024-01-01,22353571.734
2024-02-01,20335524.431
2024-03-01,20714646.058
2024-04-01,19297307.065
2024-05-01,19541304.511
2024-06-01,19647475.567
2024-07-01,22776696.191
2024-08-01,22457895.434
2024-09-01,19951121.613
2024-10-01,20340919.009
2024-11-01,19908555.216
2024-12-01,21674632.33
2025-01-01,22938402.648
2025-02-01,20264278.732
2025-03-01,21873142.114
2025-04-01,18774342.998
2025-05-01,19552211.448
2025-06-01,21828642.151
2025-07-01,23484214.113
2025-08-01,22275152.603
2025-09-01,20839861.397
2025-10-01,20459806.862
2025-11-01,21098962.566
2025-12-01,22697453.736
