fecha,temp_media_C,HDD18,CDD22
2015-01-01,5.354,12.646,0.0
2015-01-02,5.617,12.383,0.0
2015-01-03,6.714,11.286,0.0
2015-01-04,7.753,10.247,0.0
2015-01-05,6.961,11.039,0.0
2015-01-06,6.557,11.443,0.0
2015-01-07,5.931,12.069,0.0
2015-01-08,5.938,12.062,0.0
2015-01-09,7.13,10.87,0.0
2015-01-10,7.956,10.044,0.0
2015-01-11,7.793,10.207,0.0
2015-01-12,7.401,10.599,0.0
2015-01-13,8.466,9.534,0.0
2015-01-14,8.373,9.627,0.0
2015-01-15,8.603,9.397,0.0
2015-01-16,8.009,9.991,0.0
2015-01-17,5.496,12.504,0.0
2015-01-18,4.843,13.157,0.0
2015-01-19,5.701,12.299,0.0
2015-01-20,4.636,13.364,0.0
2015-01-21,4.743,13.257,0.0
2015-01-22,5.627,12.373,0.0
2015-01-23,5.641,12.359,0.0
2015-01-24,5.654,12.346,0.0
2015-01-25,7.463,10.537,0.0
2015-01-26,6.208,11.792,0.0
2015-01-27,7.079,10.921,0.0
2015-01-28,7.601,10.399,0.0
2015-01-29,8.854,9.146,0.0
2015-01-30,11.991,6.009,0.0
2015-01-31,9.419,8.581,0.0
2015-02-01,6.011,11.989,0.0
2015-02-02,5.742,12.258,0.0
2015-02-03,7.056,10.944,0.0
2015-02-04,4.214,13.786,0.0
2015-02-05,3.956,14.044,0.0
2015-02-06,3.241,14.759,0.0
2015-02-07,3.443,14.557,0.0
2015-02-08,4.487,13.513,0.0
2015-02-09,5.36,12.64,0.0
2015-02-10,5.93,12.07,0.0
2015-02-11,6.395,11.605,0.0
2015-02-12,7.132,10.868,0.0
2015-02-13,8.33,9.67,0.0
2015-02-14,9.693,8.307,0.0
2015-02-15,10.505,7.495,0.0
2015-02-16,9.745,8.255,0.0
2015-02-17,8.662,9.338,0.0
2015-02-18,8.264,9.736,0.0
2015-02-19,7.995,10.005,0.0
2015-02-20,7.419,10.581,0.0
2015-02-21,8.241,9.759,0.0
2015-02-22,8.428,9.572,0.0
