modelo,ano_test,fecha,real,pred
chronos2,2020,2020-01-01,574776.72,586837.625
chronos2,2020,2020-01-02,723522.375,765955.0
chronos2,2020,2020-01-03,754645.342,769111.6875
chronos2,2020,2020-01-04,702390.878,690876.6875
chronos2,2020,2020-01-05,651967.486,644833.625
chronos2,2020,2020-01-06,630259.532,654393.8125
chronos2,2020,2020-01-07,789031.621,789810.6875
chronos2,2020,2020-01-08,820143.678,805213.75
chronos2,2020,2020-01-09,820769.614,819232.5625
chronos2,2020,2020-01-10,814759.827,805142.0625
chronos2,2020,2020-01-11,732531.725,737386.1875
chronos2,2020,2020-01-12,693449.101,703010.875
chronos2,2020,2020-01-13,829157.906,816717.5
chronos2,2020,2020-01-14,844416.079,833304.875
chronos2,2020,2020-01-15,832910.293,839098.5
chronos2,2020,2020-01-16,822827.255,832828.625
chronos2,2020,2020-01-17,807653.787,819468.625
chronos2,2020,2020-01-18,729673.024,736459.625
chronos2,2020,2020-01-19,689820.886,682582.0
chronos2,2020,2020-01-20,846106.888,818222.6875
chronos2,2020,2020-01-21,862132.604,824995.625
chronos2,2020,2020-01-22,841706.187,829126.0
chronos2,2020,2020-01-23,829427.103,826498.25
chronos2,2020,2020-01-24,821136.183,817921.375
chronos2,2020,2020-01-25,734265.345,733777.3125
chronos2,2020,2020-01-26,676369.262,675107.75
chronos2,2020,2020-01-27,807615.701,791489.625
chronos2,2020,2020-01-28,807001.677,788221.375
chronos2,2020,2020-01-29,792162.501,788312.4375
chronos2,2020,2020-01-30,778203.546,781567.0625
chronos2,2020,2020-01-31,765448.598,761565.5
chronos2,2020,2020-02-01,681471.943,675974.75
chronos2,2020,2020-02-02,625016.468,630904.8125
chronos2,2020,2020-02-03,729329.082,741370.75
chronos2,2020,2020-02-04,747892.827,764706.0625
chronos2,2020,2020-02-05,758987.788,779620.9375
chronos2,2020,2020-02-06,769754.643,783171.875
chronos2,2020,2020-02-07,772488.589,776361.5625
chronos2,2020,2020-02-08,698199.59,706177.3125
chronos2,2020,2020-02-09,646787.156,653191.0
chronos2,2020,2020-02-10,749504.414,750421.875
chronos2,2020,2020-02-11,761008.347,770236.625
chronos2,2020,2020-02-12,766558.356,773161.0
chronos2,2020,2020-02-13,759532.177,767951.9375
chronos2,2020,2020-02-14,753954.141,764382.0
chronos2,2020,2020-02-15,675832.097,692030.9375
chronos2,2020,2020-02-16,625453.407,636476.25
chronos2,2020,2020-02-17,739797.699,743127.5
chronos2,2020,2020-02-18,766371.869,767639.1875
chronos2,2020,2020-02-19,764941.248,771285.8125
chronos2,2020,2020-02-20,763651.659,769437.6875
chronos2,2020,2020-02-21,753744.734,757952.125
chronos2,2020,2020-02-22,672072.47,684658.375
chronos2,2020,2020-02-23,620872.08,629104.25
chronos2,2020,2020-02-24,730827.761,736063.0625
chronos2,2020,2020-02-25,743820.753,753950.3125
chronos2,2020,2020-02-26,753405.313,755691.8125
chronos2,2020,2020-02-27,751137.432,753164.0
chronos2,2020,2020-02-28,728292.593,747566.125
chronos2,2020,2020-02-29,670263.321,672843.5
chronos2,2020,2020-03-01,626873.694,617214.375
chronos2,2020,2020-03-02,741296.331,732034.5625
chronos2,2020,2020-03-03,769321.188,750774.75
chronos2,2020,2020-03-04,759058.244,750758.3125
chronos2,2020,2020-03-05,754365.164,750971.875
chronos2,2020,2020-03-06,757995.483,748996.0
chronos2,2020,2020-03-07,683532.439,670133.1875
chronos2,2020,2020-03-08,630442.877,622512.625
chronos2,2020,2020-03-09,740417.533,718065.75
chronos2,2020,2020-03-10,747566.521,737097.5
chronos2,2020,2020-03-11,742561.392,736962.375
chronos2,2020,2020-03-12,738088.907,737504.75
chronos2,2020,2020-03-13,729774.542,733842.5625
chronos2,2020,2020-03-14,646497.547,652277.875
chronos2,2020,2020-03-15,600435.811,611546.25
chronos2,2020,2020-03-16,704124.264,728672.8125
chronos2,2020,2020-03-17,706050.583,742406.9375
chronos2,2020,2020-03-18,684799.07,747380.0
chronos2,2020,2020-03-19,641992.028,746024.0
chronos2,2020,2020-03-20,647058.248,742453.6875
chronos2,2020,2020-03-21,612492.101,666468.125
chronos2,2020,2020-03-22,583510.909,625219.125
chronos2,2020,2020-03-23,653558.582,734842.5625
chronos2,2020,2020-03-24,663819.764,754541.25
chronos2,2020,2020-03-25,664643.791,762733.75
chronos2,2020,2020-03-26,661338.324,768877.125
chronos2,2020,2020-03-27,667335.755,763108.25
chronos2,2020,2020-03-28,605617.221,693661.375
chronos2,2020,2020-03-29,540515.04,641964.0
chronos2,2020,2020-03-30,610996.075,757875.25
chronos2,2020,2020-03-31,610653.934,776834.1875
chronos2,2020,2020-04-01,599875.958,779592.3125
chronos2,2020,2020-04-02,599323.162,778067.625
chronos2,2020,2020-04-03,584683.694,766582.375
chronos2,2020,2020-04-04,542996.041,679600.5625
chronos2,2020,2020-04-05,519594.376,625352.6875
chronos2,2020,2020-04-06,568143.84,720189.125
chronos2,2020,2020-04-07,567082.621,736556.125
chronos2,2020,2020-04-08,555027.089,732989.4375
chronos2,2020,2020-04-09,529824.736,718807.75
chronos2,2020,2020-04-10,510435.49,610409.375
chronos2,2020,2020-04-11,518229.908,648203.9375
chronos2,2020,2020-04-12,501615.48,568824.875
chronos2,2020,2020-04-13,537818.991,686651.375
chronos2,2020,2020-04-14,584017.243,712547.5625
chronos2,2020,2020-04-15,604347.185,716865.6875
chronos2,2020,2020-04-16,604521.525,710738.0625
chronos2,2020,2020-04-17,598697.568,705881.0625
chronos2,2020,2020-04-18,552914.776,631572.75
chronos2,2020,2020-04-19,520123.268,578594.875
chronos2,2020,2020-04-20,585331.059,684010.25
chronos2,2020,2020-04-21,608880.705,709740.4375
chronos2,2020,2020-04-22,608023.375,714377.75
chronos2,2020,2020-04-23,599598.011,713203.6875
chronos2,2020,2020-04-24,594661.984,696390.6875
chronos2,2020,2020-04-25,556038.735,629834.0625
chronos2,2020,2020-04-26,522374.953,570524.0625
chronos2,2020,2020-04-27,590579.965,676380.25
chronos2,2020,2020-04-28,601203.105,692984.0625
chronos2,2020,2020-04-29,600234.68,701256.5
chronos2,2020,2020-04-30,594712.471,704702.4375
chronos2,2020,2020-05-01,525344.189,631381.625
chronos2,2020,2020-05-02,529331.136,633100.25
chronos2,2020,2020-05-03,509365.967,553041.5
chronos2,2020,2020-05-04,585884.404,676864.0
chronos2,2020,2020-05-05,607115.027,696161.8125
chronos2,2020,2020-05-06,610199.36,700503.6875
chronos2,2020,2020-05-07,604624.142,702143.375
chronos2,2020,2020-05-08,597179.788,698589.3125
chronos2,2020,2020-05-09,547084.706,626924.1875
chronos2,2020,2020-05-10,513399.456,577499.8125
chronos2,2020,2020-05-11,591350.652,681555.875
chronos2,2020,2020-05-12,617479.021,706820.625
chronos2,2020,2020-05-13,617401.116,715703.4375
chronos2,2020,2020-05-14,620557.901,716372.4375
chronos2,2020,2020-05-15,608952.25,712875.25
chronos2,2020,2020-05-16,555670.934,643005.0
chronos2,2020,2020-05-17,519597.946,589766.8125
chronos2,2020,2020-05-18,596670.207,687087.875
chronos2,2020,2020-05-19,615052.604,707707.25
chronos2,2020,2020-05-20,622450.073,712023.9375
chronos2,2020,2020-05-21,630168.002,722135.8125
chronos2,2020,2020-05-22,634355.264,723020.75
chronos2,2020,2020-05-23,582895.641,647809.4375
chronos2,2020,2020-05-24,542170.641,589731.3125
chronos2,2020,2020-05-25,627466.111,698724.75
chronos2,2020,2020-05-26,642990.536,709427.125
chronos2,2020,2020-05-27,644707.726,709091.375
chronos2,2020,2020-05-28,642005.868,709594.3125
chronos2,2020,2020-05-29,641570.31,711440.8125
chronos2,2020,2020-05-30,583380.433,639248.5625
chronos2,2020,2020-05-31,541662.429,595398.5
chronos2,2020,2020-06-01,627334.741,695201.375
chronos2,2020,2020-06-02,653396.5,711368.1875
chronos2,2020,2020-06-03,662452.407,711667.875
chronos2,2020,2020-06-04,651301.681,710163.8125
chronos2,2020,2020-06-05,640912.088,706167.125
chronos2,2020,2020-06-06,582674.188,630171.3125
chronos2,2020,2020-06-07,540393.818,587480.0
chronos2,2020,2020-06-08,625763.383,695408.25
chronos2,2020,2020-06-09,643604.721,708126.3125
chronos2,2020,2020-06-10,653728.489,709824.3125
chronos2,2020,2020-06-11,653624.408,708222.8125
chronos2,2020,2020-06-12,645918.049,697988.875
chronos2,2020,2020-06-13,581088.713,623706.875
chronos2,2020,2020-06-14,543304.621,586133.0
chronos2,2020,2020-06-15,644001.077,693028.5
chronos2,2020,2020-06-16,656823.463,711739.9375
chronos2,2020,2020-06-17,661145.578,715432.8125
chronos2,2020,2020-06-18,662011.432,714973.0
chronos2,2020,2020-06-19,657676.183,712809.875
chronos2,2020,2020-06-20,608254.976,655367.125
chronos2,2020,2020-06-21,572807.006,623456.625
chronos2,2020,2020-06-22,682963.291,738430.3125
chronos2,2020,2020-06-23,706613.83,765688.75
chronos2,2020,2020-06-24,668203.326,770989.875
chronos2,2020,2020-06-25,711838.827,777252.125
chronos2,2020,2020-06-26,702221.428,759602.875
chronos2,2020,2020-06-27,638125.491,692013.8125
chronos2,2020,2020-06-28,604144.564,668874.125
chronos2,2020,2020-06-29,723951.102,783125.0
chronos2,2020,2020-06-30,752302.735,807758.0
chronos2,2020,2020-07-01,763359.011,812604.8125
chronos2,2020,2020-07-02,765790.102,804715.9375
chronos2,2020,2020-07-03,735357.247,766877.6875
chronos2,2020,2020-07-04,660713.186,699618.1875
chronos2,2020,2020-07-05,626327.165,674966.6875
chronos2,2020,2020-07-06,757299.096,796331.5
chronos2,2020,2020-07-07,780525.085,816484.875
chronos2,2020,2020-07-08,784566.99,818463.375
chronos2,2020,2020-07-09,771125.891,799830.4375
chronos2,2020,2020-07-10,758878.105,792390.8125
chronos2,2020,2020-07-11,690697.734,727170.1875
chronos2,2020,2020-07-12,633135.072,662628.75
chronos2,2020,2020-07-13,752649.491,791838.125
chronos2,2020,2020-07-14,760459.038,792429.6875
chronos2,2020,2020-07-15,756753.738,784123.6875
chronos2,2020,2020-07-16,763067.312,792626.5625
chronos2,2020,2020-07-17,760177.205,786572.25
chronos2,2020,2020-07-18,688716.516,707736.625
chronos2,2020,2020-07-19,644522.223,675074.4375
chronos2,2020,2020-07-20,769330.38,801411.4375
chronos2,2020,2020-07-21,785563.684,812450.8125
chronos2,2020,2020-07-22,776667.953,814275.6875
chronos2,2020,2020-07-23,789634.51,824458.875
chronos2,2020,2020-07-24,789089.65,824115.875
chronos2,2020,2020-07-25,704273.245,737585.75
chronos2,2020,2020-07-26,664179.618,705885.1875
chronos2,2020,2020-07-27,794291.764,832154.0625
chronos2,2020,2020-07-28,814337.543,833828.75
chronos2,2020,2020-07-29,817487.547,839604.25
chronos2,2020,2020-07-30,825275.946,849338.8125
chronos2,2020,2020-07-31,810169.058,841943.0625
chronos2,2020,2020-08-01,738269.153,779535.4375
chronos2,2020,2020-08-02,673895.707,708418.875
chronos2,2020,2020-08-03,747511.864,785737.4375
chronos2,2020,2020-08-04,751123.76,788400.875
chronos2,2020,2020-08-05,764126.717,813972.1875
chronos2,2020,2020-08-06,776466.924,828998.5
chronos2,2020,2020-08-07,775393.905,825635.875
chronos2,2020,2020-08-08,700782.169,752742.0625
chronos2,2020,2020-08-09,657269.503,714912.75
chronos2,2020,2020-08-10,738068.961,769056.625
chronos2,2020,2020-08-11,734500.01,752868.5625
chronos2,2020,2020-08-12,712418.386,741521.9375
chronos2,2020,2020-08-13,716219.241,744451.6875
chronos2,2020,2020-08-14,710586.003,741111.3125
chronos2,2020,2020-08-15,631293.617,603386.125
chronos2,2020,2020-08-16,591662.6,620921.75
chronos2,2020,2020-08-17,683923.907,703751.8125
chronos2,2020,2020-08-18,708888.916,752985.25
chronos2,2020,2020-08-19,725675.863,779704.0625
chronos2,2020,2020-08-20,729676.986,780075.1875
chronos2,2020,2020-08-21,739080.574,782052.8125
chronos2,2020,2020-08-22,676812.548,718890.4375
chronos2,2020,2020-08-23,625384.861,663751.5
chronos2,2020,2020-08-24,733320.649,751031.5
chronos2,2020,2020-08-25,772384.724,792975.6875
chronos2,2020,2020-08-26,791658.289,800415.375
chronos2,2020,2020-08-27,797890.754,803528.875
chronos2,2020,2020-08-28,773438.841,797440.625
chronos2,2020,2020-08-29,635866.109,657661.625
chronos2,2020,2020-08-30,572310.898,612907.75
chronos2,2020,2020-08-31,679208.909,709590.8125
chronos2,2020,2020-09-01,700209.044,732906.6875
chronos2,2020,2020-09-02,711095.786,740317.75
chronos2,2020,2020-09-03,719005.12,753729.0
chronos2,2020,2020-09-04,724580.748,758381.25
chronos2,2020,2020-09-05,653584.402,682090.5625
chronos2,2020,2020-09-06,604081.335,631680.375
chronos2,2020,2020-09-07,696258.312,706399.25
chronos2,2020,2020-09-08,698100.318,726558.25
chronos2,2020,2020-09-09,718084.935,726711.25
chronos2,2020,2020-09-10,721372.797,753703.875
chronos2,2020,2020-09-11,698312.958,755913.625
chronos2,2020,2020-09-12,649165.551,696555.4375
chronos2,2020,2020-09-13,605491.558,652609.625
chronos2,2020,2020-09-14,718980.488,763205.1875
chronos2,2020,2020-09-15,740288.273,767925.4375
chronos2,2020,2020-09-16,751556.717,767536.8125
chronos2,2020,2020-09-17,740760.783,759543.6875
chronos2,2020,2020-09-18,713829.456,733757.125
chronos2,2020,2020-09-19,627328.408,658087.5
chronos2,2020,2020-09-20,574171.087,615585.625
chronos2,2020,2020-09-21,683416.711,720375.625
chronos2,2020,2020-09-22,703840.984,734693.875
chronos2,2020,2020-09-23,712811.873,739454.875
chronos2,2020,2020-09-24,712997.199,734333.25
chronos2,2020,2020-09-25,691789.689,720002.9375
chronos2,2020,2020-09-26,614309.972,650621.5625
chronos2,2020,2020-09-27,568766.565,602726.1875
chronos2,2020,2020-09-28,666559.06,716172.0625
chronos2,2020,2020-09-29,686797.043,716227.9375
chronos2,2020,2020-09-30,690962.671,721076.6875
chronos2,2020,2020-10-01,700916.732,720001.0
chronos2,2020,2020-10-02,698403.756,715873.75
chronos2,2020,2020-10-03,612169.05,647195.0
chronos2,2020,2020-10-04,571636.922,597699.6875
chronos2,2020,2020-10-05,673482.22,701468.0
chronos2,2020,2020-10-06,690894.896,712308.4375
chronos2,2020,2020-10-07,699613.798,717301.0625
chronos2,2020,2020-10-08,699215.554,715500.4375
chronos2,2020,2020-10-09,679813.517,700014.6875
chronos2,2020,2020-10-10,614331.962,618597.125
chronos2,2020,2020-10-11,563490.862,575118.8125
chronos2,2020,2020-10-12,570701.026,617299.0
chronos2,2020,2020-10-13,673784.687,709542.3125
chronos2,2020,2020-10-14,703005.757,705040.8125
chronos2,2020,2020-10-15,709578.141,712578.25
chronos2,2020,2020-10-16,704019.681,711828.5625
chronos2,2020,2020-10-17,631928.375,642836.8125
chronos2,2020,2020-10-18,583351.177,601903.375
chronos2,2020,2020-10-19,687152.413,696843.3125
chronos2,2020,2020-10-20,711714.9,710262.875
chronos2,2020,2020-10-21,707162.568,714887.125
chronos2,2020,2020-10-22,710357.203,724664.5625
chronos2,2020,2020-10-23,696843.426,715412.875
chronos2,2020,2020-10-24,625382.417,643972.6875
chronos2,2020,2020-10-25,606307.969,606266.625
chronos2,2020,2020-10-26,689553.095,717054.625
chronos2,2020,2020-10-27,714662.582,732146.75
chronos2,2020,2020-10-28,715705.336,734006.3125
chronos2,2020,2020-10-29,715284.16,728514.75
chronos2,2020,2020-10-30,704726.127,723878.3125
chronos2,2020,2020-10-31,628294.896,643826.375
chronos2,2020,2020-11-01,575075.028,602297.1875
chronos2,2020,2020-11-02,647094.468,708775.5
chronos2,2020,2020-11-03,706154.584,728737.75
chronos2,2020,2020-11-04,728814.878,744589.0625
chronos2,2020,2020-11-05,724766.756,746756.5
chronos2,2020,2020-11-06,710624.719,725732.6875
