fecha,real_MWh,pred_sarimax,pred_chronos2,pred_ensemble,error_ensemble
2024-01-01,22353571.734,21953449.80998769,22554610.0,22254029.904993847,99541.82900615409
2024-02-01,20335524.431,20113873.32531178,20463550.0,20288711.66265589,46812.76834411174
2024-03-01,20714646.058,21456787.976819143,21133214.0,21295000.98840957,-580354.930409573
2024-04-01,19297307.065,19294867.1637508,19066794.0,19180830.5818754,116476.48312460259
2024-05-01,19541304.511,19858907.589042906,19616560.0,19737733.79452145,-196429.28352145106
2024-06-01,19647475.567,19726941.365573134,20498932.0,20112936.68278657,-465461.11578656733
2024-07-01,22776696.191,22952846.13724812,22731968.0,22842407.06862406,-65710.87762406096
2024-08-01,22457895.434,22327914.31544487,21895406.0,22111660.157722436,346235.27627756447
2024-09-01,19951121.613,20031429.4117408,20332816.0,20182122.705870397,-231001.09287039563
2024-10-01,20340919.009,20302901.855299983,20114672.0,20208786.92764999,132132.0813500099
2024-11-01,19908555.216,20394623.206948485,20383036.0,20388829.603474244,-480274.3874742463
2024-12-01,21674632.33,21766185.201162748,21564930.0,21665557.600581374,9074.729418624192
2025-01-01,22938402.648,22654470.14312892,22776328.0,22715399.07156446,223003.57643553987
2025-02-01,20264278.732,20934781.334317524,20586184.0,20760482.66715876,-496203.93515875936
2025-03-01,21873142.114,22521889.257513385,21353896.0,21937892.628756694,-64750.514756694436
2025-04-01,18774342.998,19785499.61169905,19222664.0,19504081.805849522,-729738.8078495227
2025-05-01,19552211.448,20680583.90964083,19984226.0,20332404.954820417,-780193.5068204179
2025-06-01,21828642.151,22694591.08841485,20819936.0,21757263.544207424,71378.60679257661
2025-07-01,23484214.113,23431665.009132147,23020502.0,23226083.504566073,258130.60843392834
2025-08-01,22275152.603,23181754.444678158,22050132.0,22615943.22233908,-340790.61933907866
2025-09-01,20839861.397,21324920.38606616,20448774.0,20886847.19303308,-46985.79603308067
2025-10-01,20459806.862,20509863.37526549,20173310.0,20341586.687632747,118220.17436725274
2025-11-01,21098962.566,21444716.236328937,20595406.0,21020061.11816447,78901.44783553109
2025-12-01,22697453.736,22126240.2950552,21707764.0,21917002.147527598,780451.5884724036
