fecha,real_MWh,pred_sarimax,pred_residuos,pred_hibrida,error_sarimax,error_hibrido
2024-01-01,22353571.734,21953449.809987694,-385338.8,21568110.997487694,400121.9240123071,785460.7365123071
2024-02-01,20335524.431,20113873.32531178,-185824.7,19928048.62218678,221651.10568822175,407475.80881322175
2024-03-01,20714646.058,21456787.976819143,-325121.0,21131666.976819143,-742141.9188191444,-417020.91881914437
2024-04-01,19297307.065,19294867.163750798,-230712.12,19064155.038750798,2439.901249203831,233152.02624920383
2024-05-01,19541304.511,19858907.589042906,-127555.52,19731352.065605406,-317603.0780429058,-190047.55460540578
2024-06-01,19647475.567,19726941.365573138,106237.9,19833179.264010638,-79465.79857313633,-185703.69701063633
2024-07-01,22776696.191,22952846.137248117,65533.336,23018379.473185617,-176149.94624811783,-241683.28218561783
2024-08-01,22457895.434,22327914.31544487,-68325.414,22259588.90138237,129981.11855512857,198306.53261762857
2024-09-01,19951121.613,20031429.411740802,290218.5,20321647.911740802,-80307.79874080047,-370526.29874080047
2024-10-01,20340919.009,20302901.855299983,104266.51,20407168.363112483,38017.15370001644,-66249.35411248356
2024-11-01,19908555.216,20394623.206948485,2724.885,20397348.09195825,-486067.9909484871,-488792.8759582527
2024-12-01,21674632.33,21766185.201162748,98125.23,21864310.427725248,-91552.87116274983,-189678.09772524983
2025-01-01,22938402.648,22654470.143128917,261074.95,22915545.096253917,283932.50487108156,22857.55174608156
2025-02-01,20264278.732,20934781.334317524,-120885.38,20813895.951505024,-670502.6023175232,-549617.2195050232
2025-03-01,21873142.114,22521889.257513385,-85365.77,22436523.484075885,-648747.1435133852,-563381.3700758852
2025-04-01,18774342.998,19785499.611699052,-99036.23,19686463.385136552,-1011156.6136990525,-912120.3871365525
2025-05-01,19552211.448,20680583.90964083,201468.84,20882052.75339083,-1128372.461640831,-1329841.305390831
2025-06-01,21828642.151,22694591.088414855,99461.95,22794053.041539855,-865948.9374148548,-965410.8905398548
2025-07-01,23484214.113,23431665.009132147,159322.23,23590987.243507147,52549.10386785492,-106773.13050714508
2025-08-01,22275152.603,23181754.444678154,-8087.953,23173666.491553154,-906601.8416781537,-898513.8885531537
2025-09-01,20839861.397,21324920.386066157,223785.73,21548706.120441157,-485058.9890661575,-708844.7234411575
2025-10-01,20459806.862,20509863.375265494,99876.2,20609739.578390494,-50056.51326549426,-149932.71639049426
2025-11-01,21098962.566,21444716.236328937,177684.19,21622400.423828937,-345753.6703289375,-523437.8578289375
2025-12-01,22697453.736,22126240.295055196,972.5784,22127212.87348537,571213.4409448057,570240.86251463
