fecha,real_MWh,pred_sarimax,pred_residuos,pred_hibrida,error_sarimax,error_hibrido
2024-01-01,22353571.734,21953449.793832004,120602.06,22074051.856332004,400121.94016799703,279519.87766799703
2024-02-01,20335524.431,20113873.303741343,103356.46,20217229.764678843,221651.1272586584,118294.66632115841
2024-03-01,20714646.058,21456787.96171291,116320.02,21573107.98515041,-742141.9037129134,-858461.9271504134
2024-04-01,19297307.065,19294867.14179086,83881.8,19378748.93866586,2439.92320914194,-81441.87366585806
2024-05-01,19541304.511,19858907.5749698,58717.28,19917624.8562198,-317603.0639697984,-376320.3452197984
2024-06-01,19647475.567,19726941.351089608,76314.81,19803256.163589608,-79465.78408960626,-155780.59658960626
2024-07-01,22776696.191,22952846.12434107,61063.613,23013909.73762232,-176149.933341071,-237213.546622321
2024-08-01,22457895.434,22327914.297310647,61826.2,22389740.496529397,129981.13668935373,68154.93747060373
2024-09-01,19951121.613,20031429.399527162,52323.43,20083752.829214662,-80307.78652716056,-132631.21621466056
2024-10-01,20340919.009,20302901.842319723,60946.305,20363848.147007223,38017.166680276394,-22929.138007223606
2024-11-01,19908555.216,20394623.190006603,34784.555,20429407.744694103,-486067.9740066044,-520852.5286941044
2024-12-01,21674632.33,21766185.18075825,42644.8,21808829.9815395,-91552.8507582508,-134197.6515395008
2025-01-01,22938402.648,22654470.09339165,39418.61,22693888.70276665,283932.55460834876,244513.94523334876
2025-02-01,20264278.732,20934781.275414705,31147.703,20965928.978539705,-670502.5434147045,-701650.2465397045
2025-03-01,21873142.114,22521889.211359486,30326.47,22552215.68206261,-648747.0973594859,-679073.5680626109
2025-04-01,18774342.998,19785499.553699497,21762.29,19807261.842761997,-1011156.5556994975,-1032918.8447619975
2025-05-01,19552211.448,20680583.864233587,38069.402,20718653.266577337,-1128372.416233588,-1166441.818577338
2025-06-01,21828642.151,22694591.04193426,32320.855,22726911.89740301,-865948.8909342587,-898269.7464030087
2025-07-01,23484214.113,23431664.96545597,19357.34,23451022.30529972,52549.1475440301,33191.8077002801
2025-08-01,22275152.603,23181754.391250823,29153.305,23210907.695938323,-906601.7882508226,-935755.0929383226
2025-09-01,20839861.397,21324920.34407747,38538.758,21363459.10188997,-485058.94707747176,-523597.70488997176
2025-10-01,20459806.862,20509863.332666215,23228.805,20533092.137353715,-50056.470666214824,-73285.27535371482
2025-11-01,21098962.566,21444716.186999597,37893.49,21482609.675280847,-345753.620999597,-383647.109280847
2025-12-01,22697453.736,22126240.238538288,27862.824,22154103.062757038,571213.4974617139,543350.6732429639
