fecha,residuo_sarima,residuo_sarimax
2015-01-01,23850778.461,19583598.958225355
2015-02-01,-375965.1948839985,-507787.23862888664
2015-03-01,1248944.239619147,981503.6235728376
2015-04-01,-2346354.8199807666,-1156615.4295397885
2015-05-01,1020609.2888388969,2100590.884397581
2015-06-01,519224.917007599,-444895.4949812032
2015-07-01,3439203.498994112,653018.5456930473
2015-08-01,-2391545.5799404085,-761507.9089435004
2015-09-01,-1470396.8000672646,598727.6497598216
2015-10-01,-82810.32351671904,-458258.747507751
2015-11-01,-279942.7854214236,-1312514.2881453484
2015-12-01,733312.6331856474,-123845.29962929711
2016-01-01,-18237583.80241681,-16352626.664672859
2016-02-01,-407926.0724863596,-115068.28684003279
2016-03-01,-289389.43940606713,-115942.93109895661
2016-04-01,278179.2660593167,574520.5423609987
2016-05-01,-1017718.19602447,-758827.5304955468
2016-06-01,103235.80145800114,804435.603288848
2016-07-01,-549668.5444780998,-520088.7942336947
2016-08-01,1314887.7497797012,156842.52982727066
2016-09-01,479960.10637401417,244099.53408610448
2016-10-01,-1072487.4940196052,193226.4734693244
2016-11-01,499484.30285397917,-188184.76794187352
2016-12-01,-283506.852258455,-286623.2666968554
2017-01-01,-607505.6022497751,-292098.6227979064
2017-02-01,-2640619.82197579,-1192290.917484235
2017-03-01,458468.9144500829,1076041.803290449
2017-04-01,-828123.9899795055,-494231.0857476443
2017-05-01,1320238.8280780353,974081.3294626474
2017-06-01,1120950.537326984,-569373.7753812782
2017-07-01,-913322.9367668256,425640.67138527706
2017-08-01,193374.49697881192,-133228.05560015142
2017-09-01,-1186970.5692236163,-180852.6348839365
2017-10-01,722434.8238301612,163992.53767583147
2017-11-01,-4626.413728598505,-374012.2749535851
2017-12-01,585691.7009076439,61681.564475592226
2018-01-01,-2480462.787770435,-686389.9361054897
2018-02-01,1097068.6455583498,-75394.70320649818
2018-03-01,-153985.25047834963,20941.003100700676
2018-04-01,-311992.53541001305,111651.77237138897
2018-05-01,-855325.6876589358,-391550.4759768881
2018-06-01,-1006515.0463674031,18180.98262814805
2018-07-01,929691.6445529796,123253.3380442299
2018-08-01,510345.8112629391,-241504.8425592482
2018-09-01,200140.82285590097,273877.3949280903
2018-10-01,-425294.36816491187,-369249.0412908979
2018-11-01,-122126.96275322884,334701.69099922106
2018-12-01,-904840.1284312047,-678978.3415623046
2019-01-01,448839.2624112144,181633.85309961438
2019-02-01,-1945506.6307209842,-586783.3946219198
2019-03-01,-200287.10595773906,4645.729409523308
2019-04-01,628756.2773033641,-244284.40458838642
2019-05-01,174708.4262070693,623635.2593180202
2019-06-01,-226353.3090959154,-352987.25308951735
2019-07-01,1113738.2380306572,325380.7032886185
2019-08-01,-1129691.5725084394,-271400.57254323736
2019-09-01,-183685.99269235507,240774.4609546177
2019-10-01,549153.2478698492,274598.04142639413
2019-11-01,83791.37042393163,-185410.74743528664
2019-12-01,-349842.12846242264,-25075.536079149693
2020-01-01,-1005005.4141307622,-858024.0152009875
2020-02-01,-188758.64282580093,483807.718370948
2020-03-01,-741878.8763189949,-1328228.1696516685
2020-04-01,-2600713.0947031938,-2201449.046549253
2020-05-01,613226.5006216057,561281.2479092292
2020-06-01,733036.2003533579,1088589.6869714223
2020-07-01,1360817.9546005353,574649.6086756662
2020-08-01,257366.68563957885,312123.3819944523
2020-09-01,-194703.35267299414,-178437.1598732695
2020-10-01,160142.63338062167,-132258.30725539848
2020-11-01,-525320.9963204376,248707.79690698534
2020-12-01,1406586.9995081834,658059.9469834752
2021-01-01,-726003.9278774858,-523857.2313583754
2021-02-01,-1184034.9140417092,-618722.7446887046
2021-03-01,1407595.0412898585,1436442.6800140105
2021-04-01,1334408.8399588875,1547688.7607891932
2021-05-01,-468648.23541659117,-471728.61532852426
2021-06-01,-471169.0527811274,-390391.4855562784
2021-07-01,-1108335.4926635996,-697413.3852243647
2021-08-01,92891.72990531102,-424855.37609015405
2021-09-01,300437.2902686,415168.47547081485
2021-10-01,-838375.5305359587,-399662.1809078865
2021-11-01,1048767.374094218,-246681.87890708447
2021-12-01,-810390.6005188674,95404.94581282511
2022-01-01,-1284607.913674634,-1254640.2625767551
2022-02-01,542466.6078481972,560742.496863082
2022-03-01,-16871.52921960503,-135912.24250255525
2022-04-01,36705.868701294065,-14002.017301548272
2022-05-01,250456.06005506963,515977.63789502904
2022-06-01,608247.5443355963,-259972.30719882622
2022-07-01,158573.87288678437,-618992.8306784406
2022-08-01,-719780.1210942082,-179941.41614855453
2022-09-01,-620892.4835728556,115984.36790857837
2022-10-01,-466051.6293045804,388554.61363424733
2022-11-01,-1082407.90101761,-493599.9272362925
2022-12-01,220549.72538931668,-327321.3674643934
2023-01-01,479403.9320593253,436058.5282222517
2023-02-01,951764.7872509211,56462.50917731598
2023-03-01,-971289.5643533133,587977.8064706661
2023-04-01,-441162.93833654374,-99906.0005501099
2023-05-01,187503.55388330296,-728983.9236885086
2023-06-01,-165004.8686919585,-69649.67784525082
2023-07-01,549751.713769272,532348.7665143535
2023-08-01,468485.2894748002,-106446.43270977214
2023-09-01,-470821.55076604337,336342.9398554936
2023-10-01,987255.5885001682,255809.73460419476
2023-11-01,18261.742130812258,369163.95629535243
2023-12-01,293506.56766615063,-499559.0989707038
