modalidad,iter,ano_test,fecha,real,pred,error,train_ini,train_fin,n_train
expanding,1,2020,2020-01-01,23826282.724,23943504.733921103,-117222.00992110372,2015-01-01,2019-12-01,60
expanding,1,2020,2020-02-01,20980969.957,20381811.954631817,599158.002368182,2015-01-01,2019-12-01,60
expanding,1,2020,2020-03-01,20926733.362,21828924.678285897,-902191.316285897,2015-01-01,2019-12-01,60
expanding,1,2020,2020-04-01,17060911.994,20010875.81272283,-2949963.818722829,2015-01-01,2019-12-01,60
expanding,1,2020,2020-05-01,18308083.84,20781198.589370005,-2473114.749370005,2015-01-01,2019-12-01,60
expanding,1,2020,2020-06-01,19358582.116,20759995.6408732,-1401413.5248732008,2015-01-01,2019-12-01,60
expanding,1,2020,2020-07-01,23194421.105,24128726.07010262,-934304.9651026204,2015-01-01,2019-12-01,60
expanding,1,2020,2020-08-01,22065111.348,22591660.31619277,-526548.9681927674,2015-01-01,2019-12-01,60
expanding,1,2020,2020-09-01,20498509.843,21299856.004408576,-801346.1614085771,2015-01-01,2019-12-01,60
expanding,1,2020,2020-10-01,20693485.205,21664641.101269647,-971155.8962696493,2015-01-01,2019-12-01,60
expanding,1,2020,2020-11-01,20698566.523,21316504.44321341,-617937.9202134125,2015-01-01,2019-12-01,60
expanding,1,2020,2020-12-01,22438961.596,22366513.446038675,72448.14996132627,2015-01-01,2019-12-01,60
expanding,2,2021,2021-01-01,23909484.894,24556206.66011396,-646721.7661139593,2015-01-01,2020-12-01,72
expanding,2,2021,2021-02-01,20182155.276,21312670.125508685,-1130514.8495086841,2015-01-01,2020-12-01,72
expanding,2,2021,2021-03-01,21823050.887,21393820.398842562,429230.48815743625,2015-01-01,2020-12-01,72
expanding,2,2021,2021-04-01,19940221.825,17562591.557393122,2377630.267606877,2015-01-01,2020-12-01,72
expanding,2,2021,2021-05-01,20346648.964,18744213.79137128,1602435.172628723,2015-01-01,2020-12-01,72
expanding,2,2021,2021-06-01,20728356.541,19537065.715422403,1191290.825577598,2015-01-01,2020-12-01,72
expanding,2,2021,2021-07-01,22922255.761,22617216.352826957,305039.4081730433,2015-01-01,2020-12-01,72
expanding,2,2021,2021-08-01,22059793.279,22133078.435319528,-73285.15631952882,2015-01-01,2020-12-01,72
expanding,2,2021,2021-09-01,20972956.058,20664518.206501283,308437.8514987156,2015-01-01,2020-12-01,72
expanding,2,2021,2021-10-01,20197477.971,20236251.834190812,-38773.86319081113,2015-01-01,2020-12-01,72
expanding,2,2021,2021-11-01,21433492.692,21807326.365934785,-373833.6739347838,2015-01-01,2020-12-01,72
expanding,2,2021,2021-12-01,22029944.637,22253208.51386723,-223263.87686723098,2015-01-01,2020-12-01,72
expanding,3,2022,2022-01-01,22729295.932,23992706.263265114,-1263410.3312651142,2015-01-01,2021-12-01,84
