fecha,real_MWh,pred_base,pred_ext,error_base,error_ext
2024-01-01,22353571.734,21953449.809987694,22228050.2900936,400121.9240123071,125521.44390640035
2024-02-01,20335524.431,20113873.32531178,20397830.476313673,221651.10568822175,-62306.04531367123
2024-03-01,20714646.058,21456787.976819143,21418057.930289786,-742141.9188191444,-703411.872289788
2024-04-01,19297307.065,19294867.163750798,19720566.254813526,2439.901249203831,-423259.1898135245
2024-05-01,19541304.511,19858907.589042906,20052706.911973335,-317603.0780429058,-511402.4009733349
2024-06-01,19647475.567,19726941.365573138,19793496.19855606,-79465.79857313633,-146020.63155606017
2024-07-01,22776696.191,22952846.137248117,23283192.252852477,-176149.94624811783,-506496.0618524775
2024-08-01,22457895.434,22327914.31544487,22437093.434615426,129981.11855512857,20801.999384574592
2024-09-01,19951121.613,20031429.411740802,20208678.8436316,-80307.79874080047,-257557.23063159734
2024-10-01,20340919.009,20302901.855299983,20646634.814728264,38017.15370001644,-305715.80572826415
2024-11-01,19908555.216,20394623.206948485,20507807.932362042,-486067.9909484871,-599252.7163620442
2024-12-01,21674632.33,21766185.201162748,22095491.07661289,-91552.87116274983,-420858.74661289155
2025-01-01,22938402.648,22654470.143128917,23053791.592693508,283932.50487108156,-115388.94469350949
2025-02-01,20264278.732,20934781.334317524,21347813.65457958,-670502.6023175232,-1083534.922579579
2025-03-01,21873142.114,22521889.257513385,22769123.63256874,-648747.1435133852,-895981.5185687393
2025-04-01,18774342.998,19785499.611699052,20314429.745242782,-1011156.6136990525,-1540086.7472427823
2025-05-01,19552211.448,20680583.90964083,20978085.711442627,-1128372.461640831,-1425874.263442628
2025-06-01,21828642.151,22694591.088414855,22901404.448981762,-865948.9374148548,-1072762.2979817614
2025-07-01,23484214.113,23431665.009132147,23933914.92085468,52549.10386785492,-449700.8078546785
2025-08-01,22275152.603,23181754.444678154,23392111.3585697,-906601.8416781537,-1116958.7555697002
2025-09-01,20839861.397,21324920.386066157,21718944.78558072,-485058.9890661575,-879083.3885807209
2025-10-01,20459806.862,20509863.375265494,21034046.774750244,-50056.51326549426,-574239.9127502441
2025-11-01,21098962.566,21444716.236328937,21757095.62733903,-345753.6703289375,-658133.0613390319
2025-12-01,22697453.736,22126240.295055196,22715091.498637594,571213.4409448057,-17637.762637592852
